distance [mm],V_n [m/s]
1.6044399736106587,-0.5945612289023814
3.208879947221318,-0.596245025508399
4.813319920831976,-0.4595532913135929
6.417759894442636,0.0004718278014436017
8.022199868053294,1.3670291964016914
9.626639841663952,4.1970493512830584
11.231079815274612,7.280046377821969
12.83551978888527,8.95640915934907
14.439959762495928,9.510410696651173
16.044399736106588,9.365377295272998
17.648839709717247,8.690154703290927
19.253279683327904,7.753068040724212
20.857719656938563,6.938135850045825
22.462159630549223,6.1244398463768785
