distance [mm],V_n [m/s]
1.6059004059700162,0.4393442737402783
3.2118008119400323,1.393304324622699
4.817701217910049,3.2497740042709893
6.423601623880065,5.44224848480922
8.02950202985008,7.813919188947633
9.635402435820097,10.002238926975682
11.241302841790112,11.657372403214588
12.84720324776013,12.553825498376458
14.453103653730146,12.859041883725872
16.05900405970016,12.957521093655153
17.664904465670176,13.096067105163968
19.270804871640195,13.293419490148839
20.87670527761021,13.528607372412312
22.482605683580225,13.776684144262338
24.088506089550243,14.029955605532425
25.69440649552026,14.273855944966728
27.300306901490274,14.185639584849973
28.906207307460292,13.196864789860678
