distance [mm],V_n [m/s]
1.5844346550689565,-1.1337907222601113
3.168869310137913,-1.9439864724544198
4.75330396520687,-0.9757336101466304
6.337738620275826,0.08412243920769984
7.922173275344782,1.0486761379054752
9.50660793041374,2.3535608552782277
11.091042585482695,4.157647866450745
12.675477240551652,6.560342983461225
14.25991189562061,9.16456888099385
15.844346550689565,11.25459272611118
17.428781205758522,12.372137391835778
19.01321586082748,12.565680348577905
20.597650515896436,12.29764964777632
22.18208517096539,12.04811871855044
23.766519826034347,11.97766869070455
25.350954481103305,12.012577509981377
26.93538913617226,12.107474458929707
28.51982379124122,11.948396580916178
