distance [mm],V_n [m/s]
1.6523910403526607,-0.36961959048451043
3.3047820807053214,-0.38715576489964393
4.957173121057982,-0.44881873814670087
6.609564161410643,-0.4343853139274767
8.261955201763303,-0.38912058907368713
9.914346242115965,-0.3378692893831299
11.566737282468624,-0.05876659835299045
13.219128322821286,1.067087079278112
14.871519363173947,3.73319747302072
16.523910403526607,7.7749432141124695
18.176301443879268,10.850295836919523
19.82869248423193,11.763256029905458
21.48108352458459,11.361320524923052
23.13347456493725,10.688601132845154
24.78586560528991,10.19949729001436
26.43825664564257,9.781004335645504
28.090647685995233,8.929123180231203
