distance [mm],V_n [m/s]
1.6611296562638949,-0.8104954843067392
3.3222593125277897,-1.0585003067379555
4.983388968791685,-0.9193702928260524
6.644518625055579,-0.5862518881688701
8.305648281319474,-0.24895033291984664
9.96677793758337,0.2102409724579935
11.627907593847263,1.0862095034710253
13.289037250111159,2.8407988765258017
14.950166906375054,5.716695166218709
16.611296562638948,9.202242107286924
18.272426218902844,11.649502204973889
19.93355587516674,12.444662205166996
21.594685531430635,12.096580851666484
23.255815187694527,11.55241807624423
24.916944843958422,11.23657612350072
26.578074500222318,11.063933938853998
28.239204156486213,10.664617432541894
