distance [mm],V_n [m/s]
1.5951675305194863,-1.2996712425092314
3.1903350610389727,-1.0153506420650886
4.785502591558459,0.5323167601196734
6.380670122077945,2.2404522244577243
7.975837652597431,4.197423590377679
9.571005183116919,6.503461857275983
11.166172713636405,8.930233730126336
12.76134024415589,11.01528754092564
14.356507774675377,12.340990149224481
15.951675305194863,12.844859971069942
17.54684283571435,12.825660637589287
19.142010366233837,12.743558282367172
20.737177896753323,12.794267948253735
22.33234542727281,12.961496289874924
23.927512957792295,13.13635814451302
25.52268048831178,13.329426940096607
27.117848018831268,13.433356844845106
28.713015549350754,13.146999940932817
